Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
01CC65       1    No     00005DE0-00005DE5        6
01CC78       1    No     00005DE6-00005DEB        6
01CCD9       1    No     00005DEC-00005DF1        6
01CCF8       2    No     00005DF2-00005DF8        7
01CD14       1    No     00005DF9-00005DFE        6
01CD1B       2    No     00005DFF-00005E05        7
01CD38       4    No     00005E06-00005E0E        9
01CD4A       1    No     00005E0F-00005E14        6
01CD55       1    No     00005E15-00005E1A        6
01CD5C       2    No     00005E1B-00005E21        7
01CD7B       1    No     00005E22-00005E27        6
01CD87       1    No     00005E28-00005E2D        6
01CD8E       2    No     00005E2E-00005E34        7
01CD9D       1    No     00005E35-00005E3A        6
01CDA7       1    No     00005E3B-00005E40        6
01CDB1       2    No     00005E41-00005E47        7
01CDE2       1    No     00005E48-00005E4D        6
01CDEB       1    No     00005E4E-00005E53        6
01CE0E       1    No     00005E54-00005E59        6
01CE16       1    No     00005E5A-00005E5F        6
01CE20       6    No     00005E60-00005E6A        B
01CE35       9    No     00005E6B-00005E78        E
01CE44       1    No     00005E79-00005E7E        6
01CE4E       2    No     00005E7F-00005E85        7
01CE7C       1    No     00005E86-00005E8B        6
01CE83       1    No     00005E8C-00005E91        6
01CEB4       2    No     00005E92-00005E98        7
01CEBC       1    No     00005E99-00005E9E        6
01CEC4       1    No     00005E9F-00005EA4        6
01CECB       2    No     00005EA5-00005EAB        7
01CED8       1    No     00005EAC-00005EB1        6
01CEE9       1    No     00005EB2-00005EB7        6
01CEF5       2    No     00005EB8-00005EBE        7
01CF06       1    No     00005EBF-00005EC4        6
01CF10       1    No     00005EC5-00005ECA        6
01CF19       4    No     00005ECB-00005ED3        9
01CF2B       4    No     00005ED4-00005EDC        9
01CF38       4    No     00005EDD-00005EE5        9
01CF45       4    No     00005EE6-00005EEE        9
01CF4F       4    No     00005EEF-00005EF7        9
01CF5C       1    No     00005EF8-00005EFD        6
01CF66       1    No     00005EFE-00005F03        6
01CF70       2    No     00005F04-00005F0A        7
01CF7B       4    No     00005F0B-00005F13        9
01CF85       2    No     00005F14-00005F1A        7
01CF99       1    No     00005F1B-00005F20        6
01CFA3       1    No     00005F21-00005F26        6
01CFB0       1    No     00005F27-00005F2C        6
01CFBA       1    No     00005F2D-00005F32        6
01CFC2       1    No     00005F33-00005F38        6
01CFCC       2    No     00005F39-00005F3F        7
01CFDB       1    No     00005F40-00005F45        6
01CFE5       1    No     00005F46-00005F4B        6
01CFF8       1    No     00005F4C-00005F51        6
01D029       1    No     00005F52-00005F57        6
01D073       1    No     00005F58-00005F5D        6
01D0DA       2    No     00005F5E-00005F64        7
01D0E6       2    No     00005F65-00005F6B        7
01D0EE       4    No     00005F6C-00005F74        9
01D14D       4    No     00005F75-00005F7D        9
01D160       1    No     00005F7E-00005F83        6
01D16D       1    No     00005F84-00005F89        6
01D179       1    No     00005F8A-00005F8F        6
01D181       7    No     00005F90-00005F9B        C
01D1B4       2    No     00005F9C-00005FA2        7
01D1BC       1    No     00005FA3-00005FA8        6
01D1CE       1    No     00005FA9-00005FAE        6
01D1EB       1    No     00005FAF-00005FB4        6
01D1F6       8    No     00005FB5-00005FC1        D
01D20E       2    No     00005FC2-00005FC8        7
01D220       1    No     00005FC9-00005FCE        6
01D236       1    No     00005FCF-00005FD4        6
01D23E       4    No     00005FD5-00005FDD        9
01D256       1    No     00005FDE-00005FE3        6
01D26A       2    No     00005FE4-00005FEA        7
01D274       1    No     00005FEB-00005FF0        6
01D27C       1    No     00005FF1-00005FF6        6
01D29D       2    No     00005FF7-00005FFD        7
01D2A5       8    No     00005FFE-0000600A        D
01D2B4       2    No     0000600B-00006011        7
01D2BC       2    No     00006012-00006018        7
01D2CC       2    No     00006019-0000601F        7
01D2DD       8    No     00006020-0000602C        D
01D2EB       4    No     0000602D-00006035        9
01D327       4    No     00006036-0000603E        9
01D33B       4    No     0000603F-00006047        9
01D34A       4    No     00006048-00006050        9
01D359       4    No     00006051-00006059        9
01D368       4    No     0000605A-00006062        9
01D377       4    No     00006063-0000606B        9
01D386       4    No     0000606C-00006074        9
01D395       4    No     00006075-0000607D        9
01D3A4       4    No     0000607E-00006086        9
01D3B4       4    No     00006087-0000608F        9
01D3CD       4    No     00006090-00006098        9
01D400       4    No     00006099-000060A1        9
01D472       2    No     000060A2-000060A8        7
01D47B       1    No     000060A9-000060AE        6
01D49C       1    No     000060AF-000060B4        6
01D4A3       2    No     000060B5-000060BB        7
01D4AC       8    No     000060BC-000060C8        D
01D4C6       1    No     000060C9-000060CE        6
01D4CD       8    No     000060CF-000060DB        D
01D4EA       1    No     000060DC-000060E1        6
01D54D       2    No     000060E2-000060E8        7
01D58B       2    No     000060E9-000060EF        7
01D5A4       2    No     000060F0-000060F6        7
01D5AC       4    No     000060F7-000060FF        9
01D5F4       2    No     00006100-00006106        7
01D607       4    No     00006107-0000610F        9
01D649       2    No     00006110-00006116        7
01D686       2    No     00006117-0000611D        7
01D695       1    No     0000611E-00006123        6
01D69E       2    No     00006124-0000612A        7
01D6A6       4    No     0000612B-00006133        9
01D6F7       2    No     00006134-0000613A        7
01D70B       4    No     0000613B-00006143        9
01D73D       2    No     00006144-0000614A        7
01D751       2    No     0000614B-00006151        7
01D759       1    No     00006152-00006157        6
01D761       8    No     00006158-00006164        D
01D775       1    No     00006165-0000616A        6
01D780       2    No     0000616B-00006171        7
01D788       2    No     00006172-00006178        7
01D790       2    No     00006179-0000617F        7
01D7BD       1    No     00006180-00006185        6
01D7D5       4    No     00006186-0000618E        9
01D7ED       A    No     0000618F-0000619D        F
01D83E       4    No     0000619E-000061A6        9
01D857       4    No     000061A7-000061AF        9
01D8A9       2    No     000061B0-000061B6        7
01D8C4       2    No     000061B7-000061BD        7
01D8CC       4    No     000061BE-000061C6        9
01D8E7       2    No     000061C7-000061CD        7
01D8EF       4    No     000061CE-000061D6        9
01D909       1    No     000061D7-000061DC        6
01D916       1    No     000061DD-000061E2        6
01D924       8    No     000061E3-000061EF        D
01D932       2    No     000061F0-000061F6        7
01D93F       2    No     000061F7-000061FD        7
01D947       4    No     000061FE-00006206        9
01D9AF       2    No     00006207-0000620D        7
01D9C1       1    No     0000620E-00006213        6
01D9CF       2    No     00006214-0000621A        7
01D9D7       4    No     0000621B-00006223        9
01DA13       7    No     00006224-0000622F        C
01DA2A       1    No     00006230-00006235        6
01DA40       1    No     00006236-0000623B        6
01DA58       1    No     0000623C-00006241        6
01DA66       2    No     00006242-00006248        7
01DA77       7    No     00006249-00006254        C
01DA99       2    No     00006255-0000625B        7
01DAA1       1    No     0000625C-00006261        6
01DAA9       4    No     00006262-0000626A        9
01DAFD       2    No     0000626B-00006271        7
01DB16       4    No     00006272-0000627A        9
01DB53       2    No     0000627B-00006281        7
01DB6D       1    No     00006282-00006287        6
01DBA6       1    No     00006288-0000628D        6
01DBAD       1    No     0000628E-00006293        6
01DBB5       1    No     00006294-00006299        6
01DBBE       2    No     0000629A-000062A0        7
01DBCE       1    No     000062A1-000062A6        6
01DBD5       1    No     000062A7-000062AC        6
01DBEF       2    No     000062AD-000062B3        7
01DC71       B    No     000062B4-000062C3       10
01DC94       6    No     000062C4-000062CE        B
01DC9A      11    Yes    000062CF-000062D6        8
01DCB7       7    No     000062D7-000062E2        C
01DD3B       2    No     000062E3-000062E9        7
01DD4B       2    No     000062EA-000062F0        7
01DD57       4    No     000062F1-000062F9        9
01DD89       3    No     000062FA-00006301        8
01DDDE       2    No     00006302-00006308        7
01DDF8       1    No     00006309-0000630E        6
01DE3D       2    No     0000630F-00006315        7
01DE4D       8    No     00006316-00006322        D
01DE5B       2    No     00006323-00006329        7
01DE68       2    No     0000632A-00006330        7
01DE70       4    No     00006331-00006339        9
01DEB6       2    No     0000633A-00006340        7
01DEEE       2    No     00006341-00006347        7
01DF02       4    No     00006348-00006350        9
01DF34       2    No     00006351-00006357        7
01DF3D       1    No     00006358-0000635D        6
01DF4E       1    No     0000635E-00006363        6
01DF5A       1    No     00006364-00006369        6
01DF6B       1    No     0000636A-0000636F        6
01DF77       2    No     00006370-00006376        7
01DF87       2    No     00006377-0000637D        7
01DF9A       1    No     0000637E-00006383        6
01DFB8       1    No     00006384-00006389        6
01DFC3       2    No     0000638A-00006390        7
01DFCE       8    No     00006391-0000639D        D
01DFDC       A    No     0000639E-000063AC        F
01E03E       2    No     000063AD-000063B3        7
01E047       1    No     000063B4-000063B9        6
01E058       1    No     000063BA-000063BF        6
01E069       1    No     000063C0-000063C5        6
01E075       2    No     000063C6-000063CC        7
01E08A       2    No     000063CD-000063D3        7
01E097       1    No     000063D4-000063D9        6
01E101       2    No     000063DA-000063E0        7
01E10A       1    No     000063E1-000063E6        6
01E132       1    No     000063E7-000063EC        6
01E143       1    No     000063ED-000063F2        6
01E14F       2    No     000063F3-000063F9        7
01E15F       2    No     000063FA-00006400        7
01E172       1    No     00006401-00006406        6
01E1C8       2    No     00006407-0000640D        7
01E1D1       1    No     0000640E-00006413        6
01E1F8       1    No     00006414-00006419        6
01E209       1    No     0000641A-0000641F        6
01E215       2    No     00006420-00006426        7
01E22A       2    No     00006427-0000642D        7
01E237       1    No     0000642E-00006433        6
01E28F       2    No     00006434-0000643A        7
01E2C7       2    No     0000643B-00006441        7
01E2D3       B    No     00006442-00006451       10
01E2F1       9    No     00006452-0000645F        E
01E369       1    No     00006460-00006465        6
01E372       1    No     00006466-0000646B        6
01E3BA       4    No     0000646C-00006474        9
01E5BB       2    No     00006475-0000647B        7
01E5F9       2    No     0000647C-00006482        7
01E60E       8    No     00006483-0000648F        D
01E626       4    No     00006490-00006498        9
01E645       2    No     00006499-0000649F        7
01E64D       4    No     000064A0-000064A8        9
01E684       2    No     000064A9-000064AF        7
01E68D       1    No     000064B0-000064B5        6
01E6A8       1    No     000064B6-000064BB        6
01E6B3       2    No     000064BC-000064C2        7
01E6CB       1    No     000064C3-000064C8        6
01E6D7       1    No     000064C9-000064CE        6
01E6ED       2    No     000064CF-000064D5        7
01E6FA       2    No     000064D6-000064DC        7
01E702       1    No     000064DD-000064E2        6
01E70C       5    No     000064E3-000064EC        A
01E76B       2    No     000064ED-000064F3        7
01E774       1    No     000064F4-000064F9        6
01E794       2    No     000064FA-00006500        7
01E7B4       1    No     00006501-00006506        6
01E7E6       1    No     00006507-0000650C        6
01E7F0       7    No     0000650D-00006518        C
01E7FF       2    No     00006519-0000651F        7
01E82C       2    No     00006520-00006526        7
01E842       4    No     00006527-0000652F        9
01E851       2    No     00006530-00006536        7
01E85E       6    No     00006537-00006541        B
01E880       8    No     00006542-0000654E        D
01E88E       2    No     0000654F-00006555        7
01E89D       1    No     00006556-0000655B        6
01E8A7       8    No     0000655C-00006568        D
01E8B5       4    No     00006569-00006571        9
01E8D5       4    No     00006572-0000657A        9
01E916      10    No     0000657B-0000658F       15
01E930       B    No     00006590-0000659F       10
01E94C       6    No     000065A0-000065AA        B
01E959       6    No     000065AB-000065B5        B
01E966       2    No     000065B6-000065BC        7
01E96E       1    No     000065BD-000065C2        6
01E97C       1    No     000065C3-000065C8        6
01E9B1       2    No     000065C9-000065CF        7
01E9B9       1    No     000065D0-000065D5        6
01E9C0       1    No     000065D6-000065DB        6
01E9CE       2    No     000065DC-000065E2        7
01E9F5       2    No     000065E3-000065E9        7
01EA02       A    No     000065EA-000065F8        F
01EA1E       6    No     000065F9-00006603        B
01EA3D       2    No     00006604-0000660A        7
01EA4E       2    No     0000660B-00006611        7
01EA59       1    No     00006612-00006617        6
01EA90       4    No     00006618-00006620        9
01EAAB       2    No     00006621-00006627        7
01EAB9      10    No     00006628-0000663C       15
01EAD6       1    No     0000663D-00006642        6
01EAF5       F    No     00006643-00006656       14
01EB3F       1    No     00006657-0000665C        6
01EB61       6    No     0000665D-00006667        B
01EB6F       2    No     00006668-0000666E        7
01EB89       1    No     0000666F-00006674        6
01EB93      38    No     00006675-000066B1       3D
01EBDA       1    No     000066B2-000066B7        6
01EBEE      21    No     000066B8-000066DD       26
01EC49       7    No     000066DE-000066E9        C
01EC6D       5    No     000066EA-000066F3        A
01EC7A       4    No     000066F4-000066FC        9
01ECB6       6    No     000066FD-00006707        B
0213CC       1    No     00006708-0000670D        6
0213FE       1    No     0000670E-00006713        6
0214D0       1    No     00006714-00006719        6
0214E0       8    No     0000671A-00006726        D
0214FB       2    No     00006727-0000672D        7
02152F       2    No     0000672E-00006734        7
021562       4    No     00006735-0000673D        9
02156D       1    No     0000673E-00006743        6
021590       A    No     00006744-00006752        F
0215A0       2    No     00006753-00006759        7
0215B6       2    No     0000675A-00006760        7
0215C6       2    No     00006761-00006767        7
0215E1       2    No     00006768-0000676E        7
0215E9       1    No     0000676F-00006774        6
0215F0       5    No     00006775-0000677E        A
021613       2    No     0000677F-00006785        7
021622       2    No     00006786-0000678C        7
021632       2    No     0000678D-00006793        7
021656       8    No     00006794-000067A0        D
021665       B    No     000067A1-000067B0       10
02167D       2    No     000067B1-000067B7        7
02168F       4    No     000067B8-000067C0        9
02169F       5    No     000067C1-000067CA        A
0216AE       2    No     000067CB-000067D1        7
0216B9       1    No     000067D2-000067D7        6
0216D8       1    No     000067D8-000067DD        6
02172D       1    No     000067DE-000067E3        6
02173B       1    No     000067E4-000067E9        6
021790       1    No     000067EA-000067EF        6
0217A4       2    No     000067F0-000067F6        7
0217B6      12    No     000067F7-0000680D       17
02183E       6    No     0000680E-00006818        B
02185E       6    No     00006819-00006823        B
021871       6    No     00006824-0000682E        B
022309       2    No     0000682F-00006835        7
024001    20F1    No     00006836-0000892B     20F6
0260F2    1C79    Yes    0000892C-00008933        8
027D6C       1    No     00008934-00008939        6
027D96       4    No     0000893A-00008942        9
027F9D       D    No     00008943-00008954       12
027FB0       1    No     00008955-0000895A        6
028000    1225    No     0000895B-00009B84     122A
029225    2C84    Yes    00009B85-00009B8C        8
02BEAF       1    No     00009B8D-00009B92        6
02BEDF      13    No     00009B93-00009BAA       18
02C000    3B7B    Yes    00009BAB-00009BB2        8
02FB8C       2    No     00009BB3-00009BB9        7
02FE22       1    No     00009BBA-00009BBF        6
02FE37       2    No     00009BC0-00009BC6        7
02FED9       1    No     00009BC7-00009BCC        6
02FEE9       1    No     00009BCD-00009BD2        6
02FEFC       8    No     00009BD3-00009BDF        D
02FF15       1    No     00009BE0-00009BE5        6
02FF27       5    No     00009BE6-00009BEF        A
030000    3F2B    Yes    00009BF0-00009BF7        8
033F42       8    No     00009BF8-00009C04        D
033F50       1    No     00009C05-00009C0A        6
034000    3244    Yes    00009C0B-00009C12        8
0372D7       1    No     00009C13-00009C18        6
037307       9    No     00009C19-00009C26        E
03731B       A    No     00009C27-00009C35        F
03733A      12    No     00009C36-00009C4C       17
037361       1    No     00009C4D-00009C52        6
037370       1    No     00009C53-00009C58        6
037378      10    No     00009C59-00009C6D       15
03738E       1    No     00009C6E-00009C73        6
0373A5       5    No     00009C74-00009C7D        A
0373DC       7    No     00009C7E-00009C89        C
0373FD       7    No     00009C8A-00009C95        C
037416       D    No     00009C96-00009CA7       12
037434       D    No     00009CA8-00009CB9       12
037451       1    No     00009CBA-00009CBF        6
03748D       1    No     00009CC0-00009CC5        6
0374BC       2    No     00009CC6-00009CCC        7
0374DB       2    No     00009CCD-00009CD3        7
0375EE       2    No     00009CD4-00009CDA        7
0375F9       7    No     00009CDB-00009CE6        C
037641       2    No     00009CE7-00009CED        7
037653       4    No     00009CEE-00009CF6        9
0376F6       1    No     00009CF7-00009CFC        6
037706       9    No     00009CFD-00009D0A        E
037752       1    No     00009D0B-00009D10        6
037769       1    No     00009D11-00009D16        6
037771       2    No     00009D17-00009D1D        7
0377A0       1    No     00009D1E-00009D23        6
0377AB       1    No     00009D24-00009D29        6
0377CA       2    No     00009D2A-00009D30        7
037883       5    No     00009D31-00009D3A        A
0378A1       1    No     00009D3B-00009D40        6
037E42       1    No     00009D41-00009D46        6
037E72       5    No     00009D47-00009D50        A
0383F9       1    No     00009D51-00009D56        6
038415       1    No     00009D57-00009D5C        6
038431       1    No     00009D5D-00009D62        6
03844D       1    No     00009D63-00009D68        6
038469       1    No     00009D69-00009D6E        6
038485       1    No     00009D6F-00009D74        6
0384A1       1    No     00009D75-00009D7A        6
0384BD       1    No     00009D7B-00009D80        6
0384C9       4    No     00009D81-00009D89        9
0384D9       1    No     00009D8A-00009D8F        6
0384F5       1    No     00009D90-00009D95        6
038511       1    No     00009D96-00009D9B        6
03852D       1    No     00009D9C-00009DA1        6
038539       4    No     00009DA2-00009DAA        9
038549       1    No     00009DAB-00009DB0        6
038555       4    No     00009DB1-00009DB9        9
038565       1    No     00009DBA-00009DBF        6
038571       4    No     00009DC0-00009DC8        9
038581       1    No     00009DC9-00009DCE        6
03859D       1    No     00009DCF-00009DD4        6
0385A9       4    No     00009DD5-00009DDD        9
0385B9       1    No     00009DDE-00009DE3        6
0385C5       4    No     00009DE4-00009DEC        9
0385D5       1    No     00009DED-00009DF2        6
0385F1       1    No     00009DF3-00009DF8        6
03860D       1    No     00009DF9-00009DFE        6
038629       1    No     00009DFF-00009E04        6
038645       1    No     00009E05-00009E0A        6
038651       4    No     00009E0B-00009E13        9
038661       1    No     00009E14-00009E19        6
03867D       1    No     00009E1A-00009E1F        6
038699       1    No     00009E20-00009E25        6
0386B5       1    No     00009E26-00009E2B        6
0386D1       1    No     00009E2C-00009E31        6
0386ED       1    No     00009E32-00009E37        6
038709       1    No     00009E38-00009E3D        6
038725       1    No     00009E3E-00009E43        6
038741       1    No     00009E44-00009E49        6
03875D       1    No     00009E4A-00009E4F        6
038779       1    No     00009E50-00009E55        6
038795       1    No     00009E56-00009E5B        6
0387B1       1    No     00009E5C-00009E61        6
0387CD       1    No     00009E62-00009E67        6
0387E9       1    No     00009E68-00009E6D        6
038805       1    No     00009E6E-00009E73        6
038821       1    No     00009E74-00009E79        6
03883D       1    No     00009E7A-00009E7F        6
038849       4    No     00009E80-00009E88        9
038859       1    No     00009E89-00009E8E        6
038875       1    No     00009E8F-00009E94        6
038881       4    No     00009E95-00009E9D        9
038891       1    No     00009E9E-00009EA3        6
03889D       4    No     00009EA4-00009EAC        9
0388AD       1    No     00009EAD-00009EB2        6
0388B9       4    No     00009EB3-00009EBB        9
0388C9       1    No     00009EBC-00009EC1        6
0388D5       4    No     00009EC2-00009ECA        9
0388E5       1    No     00009ECB-00009ED0        6
038901       1    No     00009ED1-00009ED6        6
03890D       4    No     00009ED7-00009EDF        9
03891D       1    No     00009EE0-00009EE5        6
038939       1    No     00009EE6-00009EEB        6
038955       1    No     00009EEC-00009EF1        6
038971       1    No     00009EF2-00009EF7        6
03898D       1    No     00009EF8-00009EFD        6
0389A9       1    No     00009EFE-00009F03        6
0389C5       1    No     00009F04-00009F09        6
0389E1       1    No     00009F0A-00009F0F        6
0389FD       1    No     00009F10-00009F15        6
038A19       1    No     00009F16-00009F1B        6
038A35       1    No     00009F1C-00009F21        6
038A51       1    No     00009F22-00009F27        6
038A5D       4    No     00009F28-00009F30        9
038A6D       1    No     00009F31-00009F36        6
038A79       4    No     00009F37-00009F3F        9
038A89       1    No     00009F40-00009F45        6
038A95       4    No     00009F46-00009F4E        9
038AA5       1    No     00009F4F-00009F54        6
038AB1       4    No     00009F55-00009F5D        9
038AC1       1    No     00009F5E-00009F63        6
038ADD       1    No     00009F64-00009F69        6
038AE9       4    No     00009F6A-00009F72        9
038AF9       1    No     00009F73-00009F78        6
038B05       4    No     00009F79-00009F81        9
038B15       1    No     00009F82-00009F87        6
038B31       1    No     00009F88-00009F8D        6
038B4D       1    No     00009F8E-00009F93        6
038B5A       3    No     00009F94-00009F9B        8
038B69       1    No     00009F9C-00009FA1        6
038B76       3    No     00009FA2-00009FA9        8
038B85       1    No     00009FAA-00009FAF        6
038B92       3    No     00009FB0-00009FB7        8
038BA1       1    No     00009FB8-00009FBD        6
038BAD       4    No     00009FBE-00009FC6        9
038BBD       1    No     00009FC7-00009FCC        6
038BD9       1    No     00009FCD-00009FD2        6
038BF5       1    No     00009FD3-00009FD8        6
038C11       1    No     00009FD9-00009FDE        6
038C2D       1    No     00009FDF-00009FE4        6
038C49       1    No     00009FE5-00009FEA        6
038C65       1    No     00009FEB-00009FF0        6
038C81       1    No     00009FF1-00009FF6        6
038C9D       1    No     00009FF7-00009FFC        6
038CB9       1    No     00009FFD-0000A002        6
038CD5       1    No     0000A003-0000A008        6
038CE1       4    No     0000A009-0000A011        9
038CF1       1    No     0000A012-0000A017        6
038CFD       4    No     0000A018-0000A020        9
038D0D       1    No     0000A021-0000A026        6
038D29       1    No     0000A027-0000A02C        6
038D45       1    No     0000A02D-0000A032        6
038D61       1    No     0000A033-0000A038        6
038D7D       1    No     0000A039-0000A03E        6
038D99       1    No     0000A03F-0000A044        6
038DB5       1    No     0000A045-0000A04A        6
038DD1       1    No     0000A04B-0000A050        6
038DDD       4    No     0000A051-0000A059        9
038DED       1    No     0000A05A-0000A05F        6
038DF9       4    No     0000A060-0000A068        9
038E09       1    No     0000A069-0000A06E        6
038E25       1    No     0000A06F-0000A074        6
038E41       1    No     0000A075-0000A07A        6
038E5D       1    No     0000A07B-0000A080        6
038E79       1    No     0000A081-0000A086        6
038E95       1    No     0000A087-0000A08C        6
038EB1       1    No     0000A08D-0000A092        6
038ECD       1    No     0000A093-0000A098        6
038EE9       1    No     0000A099-0000A09E        6
038F05       1    No     0000A09F-0000A0A4        6
038F21       1    No     0000A0A5-0000A0AA        6
038F3D       1    No     0000A0AB-0000A0B0        6
038F49       4    No     0000A0B1-0000A0B9        9
038F59       1    No     0000A0BA-0000A0BF        6
038F75       1    No     0000A0C0-0000A0C5        6
038F91       1    No     0000A0C6-0000A0CB        6
038FAD       1    No     0000A0CC-0000A0D1        6
038FC9       1    No     0000A0D2-0000A0D7        6
038FE5       1    No     0000A0D8-0000A0DD        6
039001       1    No     0000A0DE-0000A0E3        6
03901D       1    No     0000A0E4-0000A0E9        6
039039       1    No     0000A0EA-0000A0EF        6
039045       4    No     0000A0F0-0000A0F8        9
039055       1    No     0000A0F9-0000A0FE        6
039071       1    No     0000A0FF-0000A104        6
03908D       1    No     0000A105-0000A10A        6
0390A9       1    No     0000A10B-0000A110        6
0390C5       1    No     0000A111-0000A116        6
0390E1       1    No     0000A117-0000A11C        6
0390ED       4    No     0000A11D-0000A125        9
0390FD       1    No     0000A126-0000A12B        6
039109       4    No     0000A12C-0000A134        9
039119       1    No     0000A135-0000A13A        6
039135       1    No     0000A13B-0000A140        6
039141       4    No     0000A141-0000A149        9
039151       1    No     0000A14A-0000A14F        6
03915D       4    No     0000A150-0000A158        9
03916D       1    No     0000A159-0000A15E        6
039189       1    No     0000A15F-0000A164        6
0391A5       1    No     0000A165-0000A16A        6
0391B1       4    No     0000A16B-0000A173        9
0391C1       1    No     0000A174-0000A179        6
0391DD       1    No     0000A17A-0000A17F        6
0391F9       1    No     0000A180-0000A185        6
039215       1    No     0000A186-0000A18B        6
039231       1    No     0000A18C-0000A191        6
03924D       1    No     0000A192-0000A197        6
039269       1    No     0000A198-0000A19D        6
039275       4    No     0000A19E-0000A1A6        9
039285       1    No     0000A1A7-0000A1AC        6
039291       4    No     0000A1AD-0000A1B5        9
0392A1       1    No     0000A1B6-0000A1BB        6
0392BD       1    No     0000A1BC-0000A1C1        6
0392D9       1    No     0000A1C2-0000A1C7        6
0392F5       1    No     0000A1C8-0000A1CD        6
039311       1    No     0000A1CE-0000A1D3        6
03932D       1    No     0000A1D4-0000A1D9        6
039349       1    No     0000A1DA-0000A1DF        6
039365       1    No     0000A1E0-0000A1E5        6
039381       1    No     0000A1E6-0000A1EB        6
03939D       1    No     0000A1EC-0000A1F1        6
0393B9       1    No     0000A1F2-0000A1F7        6
0393C5       4    No     0000A1F8-0000A200        9
0393D5       1    No     0000A201-0000A206        6
0393F1       1    No     0000A207-0000A20C        6
03940D       1    No     0000A20D-0000A212        6
039419       4    No     0000A213-0000A21B        9
039429       1    No     0000A21C-0000A221        6
039445       1    No     0000A222-0000A227        6
0396DA       1    No     0000A228-0000A22D        6
0396E2       1    No     0000A22E-0000A233        6
039700       2    No     0000A234-0000A23A        7
0397D5       1    No     0000A23B-0000A240        6
039832       1    No     0000A241-0000A246        6
03988F       1    No     0000A247-0000A24C        6
039BA2       1    No     0000A24D-0000A252        6
039C92       2    No     0000A253-0000A259        7
039CA9       2    No     0000A25A-0000A260        7
039CC6       1    No     0000A261-0000A266        6
039D19       1    No     0000A267-0000A26C        6
03A559       1    No     0000A26D-0000A272        6
03A69E       2    No     0000A273-0000A279        7
03A725       1    No     0000A27A-0000A27F        6
03A755       1    No     0000A280-0000A285        6
03A766       2    No     0000A286-0000A28C        7
03A773       1    No     0000A28D-0000A292        6
03A79B       1    No     0000A293-0000A298        6
03A7DD       1    No     0000A299-0000A29E        6
03A822       1    No     0000A29F-0000A2A4        6
03A83C       8    No     0000A2A5-0000A2B1        D
03A84A       2    No     0000A2B2-0000A2B8        7
03A858       2    No     0000A2B9-0000A2BF        7
03A949       2    No     0000A2C0-0000A2C6        7
03ADCD       D    No     0000A2C7-0000A2D8       12
03ADF8       1    No     0000A2D9-0000A2DE        6
03AE01       2    No     0000A2DF-0000A2E5        7
03AE19       1    No     0000A2E6-0000A2EB        6
03AE20       F    No     0000A2EC-0000A2FF       14
03AE42       1    No     0000A300-0000A305        6
03AE4F       1    No     0000A306-0000A30B        6
03AE6A       2    No     0000A30C-0000A312        7
03AE76       1    No     0000A313-0000A318        6
03AEAB       1    No     0000A319-0000A31E        6
03AEB7       1    No     0000A31F-0000A324        6
03AEF4       1    No     0000A325-0000A32A        6
03AF02       1    No     0000A32B-0000A330        6
03AF21       5    No     0000A331-0000A33A        A
03AF32       2    No     0000A33B-0000A341        7
03AF59       1    No     0000A342-0000A347        6
03AF94       1    No     0000A348-0000A34D        6
03AFA7       9    No     0000A34E-0000A35B        E
03AFB9       1    No     0000A35C-0000A361        6
03B038       1    No     0000A362-0000A367        6
03B05A       1    No     0000A368-0000A36D        6
03BA18       2    No     0000A36E-0000A374        7
03BA32       2    No     0000A375-0000A37B        7
03BA89       1    No     0000A37C-0000A381        6
03BA95       7    No     0000A382-0000A38D        C
03BAED       1    No     0000A38E-0000A393        6
03BB00       1    No     0000A394-0000A399        6
03BB09       1    No     0000A39A-0000A39F        6
03BB63       1    No     0000A3A0-0000A3A5        6
03BB7B       2    No     0000A3A6-0000A3AC        7
03BBCA       7    No     0000A3AD-0000A3B8        C
03BBE4      1A    No     0000A3B9-0000A3D7       1F
03C055       1    No     0000A3D8-0000A3DD        6
03C064       1    No     0000A3DE-0000A3E3        6
03C091      2A    No     0000A3E4-0000A412       2F
03C0E2       1    No     0000A413-0000A418        6
03C0ED       A    No     0000A419-0000A427        F
03C0FD       1    No     0000A428-0000A42D        6
03C14A       5    No     0000A42E-0000A437        A
03C158       2    No     0000A438-0000A43E        7
03C172       8    No     0000A43F-0000A44B        D
03C180       1    No     0000A44C-0000A451        6
03C1A1       1    No     0000A452-0000A457        6
03C1D2       2    No     0000A458-0000A45E        7
03C1DD       2    No     0000A45F-0000A465        7
03C1EC       1    No     0000A466-0000A46B        6
03C1F5       8    No     0000A46C-0000A478        D
03C203       2    No     0000A479-0000A47F        7
03C217       7    No     0000A480-0000A48B        C
03C227       1    No     0000A48C-0000A491        6
03C247       2    No     0000A492-0000A498        7
03C29E       2    No     0000A499-0000A49F        7
03C2E3       1    No     0000A4A0-0000A4A5        6
03C31D       1    No     0000A4A6-0000A4AB        6
03C347       1    No     0000A4AC-0000A4B1        6
03C39D       1    No     0000A4B2-0000A4B7        6
03C3E0       2    No     0000A4B8-0000A4BE        7
03C41E       2    No     0000A4BF-0000A4C5        7
03C42A       2    No     0000A4C6-0000A4CC        7
